Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
ItemTag_18687_Name,aCIL,d道具标签_ItemTag_C.csv,32,ItemTag,Name,,特殊,ไอเทมพิเศษ
ItemTag_18665_Name,aCIq,d道具标签_ItemTag_C.csv,33,ItemTag,Name,,剧情道具,ไอเทมเนื้อเรื่อง
ItemTag_74095_Name,aCIY,d道具标签_ItemTag_C.csv,34,ItemTag,Name,,灵塑适性素材,วัสดุศักยภาพแห่งวิญญาณ
ItemTag_18666_Name,aCIr,d道具标签_ItemTag_C.csv,35,ItemTag,Name,,命轮,กงล้อโชคชะตา
ItemTag_18684_Name,aCII,d道具标签_ItemTag_C.csv,36,ItemTag,Name,,密契,พันธสัญญา
ItemTag_18686_Name,aCIK,d道具标签_ItemTag_C.csv,37,ItemTag,Name,,礼盒,ของล้ำค่า
ItemTag_18668_Name,aCIt,d道具标签_ItemTag_C.csv,38,ItemTag,Name,,掉落,รางวัลที่ได้รับ
ItemTag_18674_Name,aCIz,d道具标签_ItemTag_C.csv,39,ItemTag,Name,,消耗品,วัสดุใช้งาน
ItemTag_18679_Name,aCIE,d道具标签_ItemTag_C.csv,40,ItemTag,Name,,密契匣,กล่องพันธสัญญา
ItemTag_18670_Name,aCIv,d道具标签_ItemTag_C.csv,41,ItemTag,Name,,应急灵知体,ญาณฉุกเฉิน
ItemTag_18671_Name,aCIw,d道具标签_ItemTag_C.csv,42,ItemTag,Name,,钥令,คำสั่งกุญแจเงิน
ItemTag_54583_Name,aCIX,d道具标签_ItemTag_C.csv,43,ItemTag,Name,,头像框,กรอบรูป
ItemTag_23901_Name,aCIR,d道具标签_ItemTag_C.csv,44,ItemTag,Name,,头像,รูปโปรไฟล์
ItemTag_25225_Name,aCIS,d道具标签_ItemTag_C.csv,45,ItemTag,Name,,灵知深化素材,วัสดุเลื่อนขั้นจิตตื่นรู้
ItemTag_34758_Name,aCIT,d道具标签_ItemTag_C.csv,46,ItemTag,Name,,活动货币,สกุลเงินกิจกรรม
ItemTag_46796_Name,aCIU,d道具标签_ItemTag_C.csv,47,ItemTag,Name,,表情,สติกเกอร์
ItemTag_51887_Name,aCIW,d道具标签_ItemTag_C.csv,48,ItemTag,Name,,密契残本,เศษชิ้นส่วนพันธสัญญา
ItemTag_79687_Name,aCJa,d道具标签_ItemTag_C.csv,49,ItemTag,Name,,幻衣,สกิน
ItemTag_90034_Name,bxOc,d道具标签_ItemTag_C.csv,50,ItemTag,Name,,幻衣绘形券,คูปองสกิน
